"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"2658E319B13141F9","electric_bike","2024-07-11 08:15:14.784","2024-07-11 08:17:56.335",,,,,41.8,-87.59,41.79,-87.59,"casual"
"B2176315168A47CE","electric_bike","2024-07-11 15:45:07.851","2024-07-11 16:06:04.243",,,,,41.79,-87.6,41.8,-87.59,"casual"
"C2A9D33DF7EBB422","electric_bike","2024-07-11 08:24:48.192","2024-07-11 08:28:05.237",,,,,41.79,-87.59,41.79,-87.6,"casual"
"8BFEA406DF01D8AD","electric_bike","2024-07-11 08:46:06.864","2024-07-11 09:14:11.664",,,,,41.88,-87.64,41.9,-87.67,"casual"
"ECD3EF02E5EB73B6","electric_bike","2024-07-11 18:18:16.588","2024-07-11 18:30:20.288",,,,,41.95,-87.64,41.91,-87.62,"casual"
"A3C62391BBBAC107","electric_bike","2024-07-11 16:03:59.708","2024-07-11 16:32:38.635",,,,,41.7,-87.61,41.7,-87.61,"casual"
"F85883E457EDA986","electric_bike","2024-07-11 08:45:11.133","2024-07-11 08:56:22.326",,,,,41.89,-87.67,41.88,-87.64,"casual"
"419F4A62FF2A1681","electric_bike","2024-07-11 14:54:19.654","2024-07-11 14:57:05.953",,,,,41.79,-87.59,41.79,-87.6,"casual"
"1DAF1D21DD189392","classic_bike","2024-07-11 13:10:24.438","2024-07-11 13:40:40.770","California Ave & Milwaukee Ave","13084","California Ave & Milwaukee Ave","13084",41.922695,-87.697153,41.922695,-87.697153,"casual"
"48B8D7B0CCE67082","electric_bike","2024-07-10 20:28:04.489","2024-07-10 20:43:13.384",,,,,41.88,-87.63,41.91,-87.63,"casual"
"94B67973D2DC885E","electric_bike","2024-07-11 18:00:27.826","2024-07-11 18:14:50.225",,,,,41.92,-87.64,41.95,-87.66,"casual"
"01FB41824D531AD6","electric_bike","2024-07-11 02:07:30.400","2024-07-11 02:10:44.684",,,,,42.0,-87.67,42.01,-87.67,"casual"
"2095E06EF6581BB9","electric_bike","2024-07-11 09:39:46.572","2024-07-11 09:45:14.740",,,,,41.85,-87.62,41.86,-87.61,"casual"
"8B1C5D43D3921902","electric_bike","2024-07-11 15:31:53.485","2024-07-11 15:33:07.984",,,,,41.88,-87.63,41.88,-87.63,"casual"
"FAF8B0A9E74E4E5D","electric_bike","2024-07-11 10:41:25.282","2024-07-11 10:53:04.853",,,,,41.94,-87.65,41.94,-87.64,"casual"
"2FF6B44FAFFC1789","electric_bike","2024-07-11 16:30:20.054","2024-07-11 16:46:30.415","Campbell Ave & Montrose Ave","15623",,,41.961621523,-87.691213727,41.96,-87.64,"casual"
"657DF746CBCB5F69","electric_bike","2024-07-10 20:00:05.506","2024-07-10 20:02:33.456",,,,,42.0,-87.68,42.0,-87.69,"casual"
"8EB91C228293756E","electric_bike","2024-07-10 21:53:10.888","2024-07-10 22:05:44.088",,,,,42.0,-87.69,41.97,-87.7,"casual"
"DB7CFDCB22A07FB8","electric_bike","2024-07-11 12:08:58.760","2024-07-11 12:20:46.798",,,,,41.89,-87.62,41.89,-87.62,"casual"
"6C7265F27FDBA823","electric_bike","2024-07-10 21:49:28.851","2024-07-10 22:02:38.625",,,,,41.92,-87.64,41.89,-87.62,"casual"
"6C6E1054A15EC61B","electric_bike","2024-07-11 03:18:49.328","2024-07-11 03:28:17.480",,,,,41.95,-87.66,41.94,-87.69,"casual"
"9E0024D813A5E731","electric_bike","2024-07-11 18:08:45.251","2024-07-11 18:11:17.588",,,,,41.92,-87.7,41.93,-87.7,"casual"
"61D1DF113E09E903","electric_bike","2024-07-11 17:52:52.858","2024-07-11 18:02:50.086",,,,,41.93,-87.72,41.92,-87.7,"casual"
"BA5E7B138669EC0F","electric_bike","2024-07-11 13:51:40.966","2024-07-11 13:57:23.863",,,,,41.95,-87.66,41.94,-87.65,"casual"
"164F8F161FC14757","electric_bike","2024-07-11 02:11:51.326","2024-07-11 02:17:03.432",,,,,41.93,-87.7,41.93,-87.71,"casual"
"772385E77B51C60E","electric_bike","2024-07-11 00:36:19.286","2024-07-11 00:41:10.115",,,,,41.93,-87.71,41.93,-87.7,"casual"
