"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"4422E707103AA4FF","electric_bike","2024-10-14 03:26:04.083","2024-10-14 03:32:56.535",,,,,41.96,-87.65,41.98,-87.67,"member"
"19DB722B44CBE82F","electric_bike","2024-10-13 19:33:38.926","2024-10-13 19:39:04.490",,,,,41.98,-87.67,41.97,-87.66,"member"
"20AE2509FD68C939","electric_bike","2024-10-13 23:40:48.522","2024-10-13 23:48:02.339",,,,,41.97,-87.66,41.95,-87.65,"member"
"D0F17580AB9515A9","electric_bike","2024-10-14 02:13:41.602","2024-10-14 02:25:40.057",,,,,41.95,-87.65,41.96,-87.65,"member"
"A114A483941288D1","electric_bike","2024-10-13 19:26:41.383","2024-10-13 19:28:18.560",,,,,41.98,-87.67,41.98,-87.67,"member"
"97833F00E6A67DC6","electric_bike","2024-10-14 06:35:06.130","2024-10-14 06:42:10.776",,,,,41.88,-87.65,41.89,-87.64,"member"
"9201F81331C12654","electric_bike","2024-10-14 09:52:17.174","2024-10-14 09:57:03.412",,,,,41.89,-87.63,41.88,-87.63,"member"
"B7844C9A6855B606","electric_bike","2024-10-18 21:30:18.782","2024-10-18 21:33:29.207",,,,,41.97,-87.67,41.97,-87.67,"member"
"51211E6BB6F5D502","electric_bike","2024-10-19 11:06:06.422","2024-10-19 11:08:03.468",,,,,41.96,-87.65,41.96,-87.66,"member"
"7616C25F0D42D8D5","electric_bike","2024-10-19 12:04:53.150","2024-10-19 12:05:14.142",,,,,41.89,-87.61,41.89,-87.61,"casual"
"E3DED76221FC315E","electric_bike","2024-10-19 12:02:21.047","2024-10-19 12:02:39.638",,,,,41.89,-87.61,41.89,-87.61,"casual"
"AE636B6DE672733F","electric_bike","2024-10-19 12:07:25.554","2024-10-19 12:07:26.946",,,,,41.89,-87.61,41.89,-87.61,"casual"
"8B455B63F2F973E6","electric_bike","2024-10-19 12:06:37.424","2024-10-19 12:06:53.844",,,,,41.89,-87.61,41.89,-87.61,"casual"
"3B2A6F642F508B12","electric_bike","2024-10-19 13:01:04.710","2024-10-19 13:07:28.795",,,,,41.92,-87.65,41.94,-87.65,"member"
"E4F7AB5803B0FE64","electric_bike","2024-10-19 12:47:35.757","2024-10-19 12:55:04.188",,,,,41.94,-87.65,41.92,-87.65,"member"
"97A1BF4A158E27CB","electric_bike","2024-10-02 10:20:06.640","2024-10-02 10:26:32.975",,,,,41.79,-87.58,41.79,-87.59,"member"
"8F4E89B3C1EB9924","electric_bike","2024-10-02 09:00:51.966","2024-10-02 09:09:11.080",,,,,41.8,-87.59,41.79,-87.6,"member"
"4D9051519D1DB1C2","electric_bike","2024-10-02 18:57:06.001","2024-10-02 19:04:37.165",,,,,41.94,-87.67,41.96,-87.67,"member"
"6F63204E21B9620D","electric_bike","2024-10-02 06:49:34.311","2024-10-02 06:54:10.335",,,,,41.91,-87.63,41.91,-87.63,"member"
"BA294FCCABAA2665","electric_bike","2024-10-10 18:38:01.055","2024-10-10 18:44:36.853",,,,,41.89,-87.65,41.89,-87.63,"member"
