"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"31D38723D5A8665A","electric_bike","2024-09-26 15:30:58.150","2024-09-26 15:30:59.437",,,,,41.91,-87.63,41.91,-87.63,"member"
"67CB39987F4E895B","electric_bike","2024-09-26 15:31:32.529","2024-09-26 15:53:13.501",,,,,41.91,-87.63,41.91,-87.63,"member"
"DA61204FD26EC681","electric_bike","2024-09-26 15:00:33.012","2024-09-26 15:02:25.406",,,,,41.9,-87.62,41.9,-87.63,"member"
"06F160D46AF235DD","electric_bike","2024-09-26 18:19:06.491","2024-09-26 18:38:53.515",,,,,41.91,-87.63,41.9,-87.62,"member"
"6FCA41D4317601EB","electric_bike","2024-09-03 19:49:57.054","2024-09-03 20:07:08.464",,,,,41.9,-87.69,41.9,-87.63,"member"
"9F291E82895C45E5","electric_bike","2024-09-04 01:45:18.863","2024-09-04 02:01:38.209",,,,,41.9,-87.63,41.9,-87.69,"member"
"625D2EA831E1F8AC","electric_bike","2024-09-04 16:22:16.399","2024-09-04 16:26:20.740",,,,,41.89,-87.63,41.89,-87.63,"member"
"A21DCB6834BCAD0D","electric_bike","2024-09-04 16:31:58.949","2024-09-04 16:38:52.990",,,,,41.89,-87.63,41.89,-87.63,"member"
"0EEB8A4CF63DA7AE","electric_bike","2024-09-28 20:30:28.855","2024-09-28 20:33:20.734",,,,,41.9,-87.64,41.9,-87.63,"member"
"6CE10020F5D0D7B8","electric_bike","2024-09-28 20:10:48.319","2024-09-28 20:24:32.730",,,,,41.92,-87.68,41.9,-87.64,"member"
"405BC200A6663FB7","electric_bike","2024-09-28 20:45:03.971","2024-09-28 20:56:32.060",,,,,41.9,-87.63,41.89,-87.62,"member"
"F599765F9C655498","electric_bike","2024-09-29 00:54:43.798","2024-09-29 01:20:37.158",,,,,41.92,-87.69,41.91,-87.63,"member"
"E0E16808E6A8CF8B","electric_bike","2024-09-29 16:23:13.940","2024-09-29 16:23:18.243",,,,,41.92,-87.65,41.92,-87.65,"member"
"946C4948B90A5F83","electric_bike","2024-09-21 17:21:19.648","2024-09-21 17:36:30.656",,,,,41.92,-87.69,41.89,-87.67,"member"
"EAB0A12DB78476AC","electric_bike","2024-09-08 12:45:58.390","2024-09-08 12:55:01.370",,,,,41.93,-87.71,41.92,-87.72,"member"
"B6CA217A646A1640","electric_bike","2024-09-08 11:40:01.249","2024-09-08 11:45:13.220",,,,,41.92,-87.71,41.92,-87.7,"member"
"39E89598F4BB60EE","electric_bike","2024-09-21 01:41:43.497","2024-09-21 02:04:12.575",,,,,41.95,-87.66,41.9,-87.69,"member"
"6E8B6E2ACDBE981E","electric_bike","2024-09-07 21:00:37.860","2024-09-07 21:07:52.553",,,,,41.94,-87.68,41.92,-87.68,"member"
"7EC75634607691C9","electric_bike","2024-09-08 17:32:57.427","2024-09-08 18:16:12.740",,,,,41.94,-87.64,41.87,-87.61,"member"
"0E0C0EFE67A8826C","electric_bike","2024-09-08 14:28:55.763","2024-09-08 14:52:18.902",,,,,41.95,-87.64,41.97,-87.69,"member"
"5DFF4CAFED1F7C95","electric_bike","2024-09-05 12:08:48.725","2024-09-05 13:37:27.627",,,,,41.95,-87.66,41.97,-87.66,"casual"
"8C36BA183FC13866","electric_bike","2024-09-05 12:04:28.527","2024-09-05 12:04:47.105",,,,,41.95,-87.66,41.95,-87.66,"casual"
"1A6CB019F9A04599","electric_bike","2024-09-05 12:08:05.923","2024-09-05 12:08:23.063",,,,,41.95,-87.66,41.95,-87.66,"casual"
"852FE1952E8C34D4","electric_bike","2024-09-05 12:06:44.404","2024-09-05 12:07:44.059",,,,,41.95,-87.66,41.95,-87.66,"casual"
"35EA37C543CFF086","electric_bike","2024-09-05 14:04:27.578","2024-09-05 14:04:37.767",,,,,41.97,-87.66,41.97,-87.66,"casual"
"EFCE4FFF82181901","electric_bike","2024-09-05 11:08:30.924","2024-09-05 11:45:04.695",,,,,41.94,-87.72,41.95,-87.66,"casual"
